TS:   8, skip: 1, model: TCN  , sensor: All_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.47363650, f1: 0.44127372, precision: 0.54051450, recall: 0.52458630 
TS:   8, skip: 1, model: LSTM , sensor: All_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.57773078, f1: 0.36617830, precision: 0.28917120, recall: 0.49908640 
TS:   8, skip: 1, model: BiLSTM, sensor: All_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.56443572, f1: 0.45345401, precision: 0.51307371, recall: 0.50599220 
TS:   8, skip: 1, model: TCN  , sensor: HR_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.57480989, f1: 0.41357782, precision: 0.52234023, recall: 0.50471703 
TS:   8, skip: 1, model: LSTM , sensor: HR_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.55496802, f1: 0.49576647, precision: 0.51855777, recall: 0.51373052 
TS:   8, skip: 1, model: BiLSTM, sensor: HR_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.55229894, f1: 0.50287647, precision: 0.51936193, recall: 0.51541221 
TS:   8, skip: 1, model: TCN  , sensor: RR_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.56685300, f1: 0.55699587, precision: 0.55689016, recall: 0.55718291 
TS:   8, skip: 1, model: LSTM , sensor: RR_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.57878834, f1: 0.36660287, precision: 0.28939417, recall: 0.50000000 
TS:   8, skip: 1, model: BiLSTM, sensor: RR_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.54952913, f1: 0.54325121, precision: 0.59502410, recall: 0.58246602 
TS:   8, skip: 1, model: TCN  , sensor: GSR_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.55929899, f1: 0.51274193, precision: 0.52920212, recall: 0.52359143 
TS:   8, skip: 1, model: LSTM , sensor: GSR_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.54721257, f1: 0.49588737, precision: 0.51215544, recall: 0.50958601 
TS:   8, skip: 1, model: BiLSTM, sensor: GSR_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.56206879, f1: 0.49710327, precision: 0.52605581, recall: 0.51830226 
TS:   8, skip: 1, model: TCN  , sensor: Temp_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.51140656, f1: 0.51024510, precision: 0.53368539, recall: 0.53229742 
TS:   8, skip: 1, model: LSTM , sensor: Temp_frame8_skip1, classes: 2, BatchSize: 256, Accuracy: 0.57878834, f1: 0.36660287, precision: 0.28939417, recall: 0.50000000 
