TS:  30, skip: 1, cv: 0, model: TCN  , sensor: Temp, classes: 2, BatchSize:  32, Val Accuracy: 0.52100840, Accuracy: 0.51243781, f1: 0.50892501, precision: 0.51028433, recall: 0.51011102 
TS:  30, skip: 1, cv: 0, model: LSTM , sensor: Temp, classes: 2, BatchSize:  32, Val Accuracy: 0.52521008, Accuracy: 0.52238806, f1: 0.35230934, precision: 0.76000000, recall: 0.50515464 
TS:  30, skip: 1, cv: 0, model: BiLSTM, sensor: Temp, classes: 2, BatchSize:  32, Val Accuracy: 0.55042017, Accuracy: 0.52736318, f1: 0.52736318, precision: 0.52800357, recall: 0.52800357 
TS:  30, skip: 1, cv: 0, model: TCN+LSTM, sensor: Temp, classes: 2, BatchSize:  32, Val Accuracy: 0.51680672, Accuracy: 0.51741294, f1: 0.43185593, precision: 0.51000000, recall: 0.50451031 
TS:  30, skip: 1, cv: 0, model: TCN  , sensor: GSR, classes: 2, BatchSize:  32, Val Accuracy: 0.65126050, Accuracy: 0.66666667, f1: 0.66613779, precision: 0.66622024, recall: 0.66608842 
TS:  30, skip: 1, cv: 0, model: LSTM , sensor: GSR, classes: 2, BatchSize:  32, Val Accuracy: 0.62184874, Accuracy: 0.66169154, f1: 0.66067527, precision: 0.66769464, recall: 0.66440325 
TS:  30, skip: 1, cv: 0, model: BiLSTM, sensor: GSR, classes: 2, BatchSize:  32, Val Accuracy: 0.61764706, Accuracy: 0.66169154, f1: 0.66101190, precision: 0.66643202, recall: 0.66405630 
TS:  30, skip: 1, cv: 0, model: TCN+LSTM, sensor: GSR, classes: 2, BatchSize:  32, Val Accuracy: 0.61344538, Accuracy: 0.65671642, f1: 0.65087476, precision: 0.66088180, recall: 0.65300357 
TS:  30, skip: 1, cv: 0, model: TCN  , sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.55882353, Accuracy: 0.52736318, f1: 0.52661328, precision: 0.52663690, recall: 0.52661578 
TS:  30, skip: 1, cv: 0, model: LSTM , sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.53781513, Accuracy: 0.46268657, f1: 0.46160714, precision: 0.46430008, recall: 0.46480967 
TS:  30, skip: 1, cv: 0, model: BiLSTM, sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.52521008, Accuracy: 0.51243781, f1: 0.50347852, precision: 0.51952017, recall: 0.51774385 
TS:  30, skip: 1, cv: 0, model: TCN+LSTM, sensor: RR, classes: 2, BatchSize:  32, Val Accuracy: 0.51260504, Accuracy: 0.48756219, f1: 0.46643128, precision: 0.47838732, recall: 0.48121531 
TS:  30, skip: 1, cv: 0, model: TCN  , sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.58823529, Accuracy: 0.53233831, f1: 0.47772004, precision: 0.53466287, recall: 0.52170896 
TS:  30, skip: 1, cv: 0, model: LSTM , sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.58403361, Accuracy: 0.45771144, f1: 0.45722780, precision: 0.45899101, recall: 0.45930809 
TS:  30, skip: 1, cv: 0, model: BiLSTM, sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.57983193, Accuracy: 0.52238806, f1: 0.51894695, precision: 0.52041742, recall: 0.52007335 
TS:  30, skip: 1, cv: 0, model: TCN+LSTM, sensor: HR, classes: 2, BatchSize:  32, Val Accuracy: 0.53361345, Accuracy: 0.52238806, f1: 0.42420625, precision: 0.52301587, recall: 0.50862411 
TS:  30, skip: 1, cv: 0, model: TCN  , sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.65546218, Accuracy: 0.63681592, f1: 0.63551680, precision: 0.63631831, recall: 0.63550753 
TS:  30, skip: 1, cv: 0, model: LSTM , sensor: All, classes: 2, BatchSize:  32, Val Accuracy: 0.61344538, Accuracy: 0.65671642, f1: 0.65586462, precision: 0.66197822, recall: 0.65924861 
